business_id,name,categories,review_count,city,latitude,longitude
rBmpy_Y1UbBx8ggHlyb7hA,Arizona Truck Outfitters,"Automotive, Auto Parts & Supplies, Auto Customization",10,Tucson,,
M0XSSHqrASOnhgbWDJIpQA,Herb Import Co,"Vape Shops, Tobacco Shops, Personal Shopping, Vitamins & Supplements, Shopping",5,New Orleans,,
8wGISYjYkE2tSqn3cDMu8A,Nifty Car Rental,"Automotive, Car Rental, Hotels & Travel, Truck Rental",14,Kenner,,
ROeacJQwBeh05Rqg7F6TCg,BAP,"Korean, Restaurants",205,Philadelphia,,
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,"Coffee & Tea, Food, Cafes, Bars, Wine Bars, Restaurants, Nightlife",40,Edmonton,,
qhDdDeI3K4jy2KyzwFN53w,Barnes & Noble Booksellers,"Shopping, Books, Mags, Music & Video, Bookstores",38,Indianapolis,,
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,"Steakhouses, Asian Fusion, Restaurants",20,Indianapolis,,
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,"Restaurants, Italian",339,Reno,,
4iRzR7OaS-QaSXuvYxEGKA,Super Dog,"Hot Dogs, Restaurants",6,Nashville,,
PSo_C1Sfa13JHjzVNW6ziQ,Indian Walk Veterinary Center,"Pet Services, Pet Groomers, Pets, Veterinarians",15,Newtown,,
noByYNtDLQAra9ccqxdfDw,H&M,"Women's Clothing, Accessories, Children's Clothing, Men's Clothing, Adult, Shopping, Fashion",24,Santa Barbara,,
tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,"Restaurants, Japanese, Seafood",161,Nashville,,
QdN72BWoyFypdGJhhI5r7g,Bar One,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants",65,Philadelphia,,
sqSqqLy0sN8n2IZrAbzidQ,Domino's Pizza,"Pizza, Chicken Wings, Sandwiches, Restaurants",8,White House,,
fvWn8oXXwbj2l79cochZyw,Altitude Trampoline Park - Boise,"Trampoline Parks, Active Life",30,Boise,,
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,"Pizza, Restaurants, Salad, Soup",41,Philadelphia,,
8sshLb4UU7emeUDvtJWnpA,DanceLine,"Dance Wear, Sports Wear, Children's Clothing, Arts & Entertainment, Social Clubs, Performing Arts, Sporting Goods, Shoe Stores, Fashion, Shopping",11,Paoli,,
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,"Pizza, Restaurants",109,Ardmore,,
w_AMNoI1iG9eay7ncmc67w,River 127,"Event Planning & Services, Hotels, Hotels & Travel",12,New Orleans,,
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",65,Philadelphia,,
2xVsWBNFwZOxIOdd9Mwnww,Cheeseburger In Paradise,"Restaurants, Burgers",20,Exton,,
mGFsPRHdE6SMV1gYQ6GzgQ,T-Mobile,"Mobile Phones, Telecommunications, Electronics, Mobile Phone Accessories, Local Services, Shopping, IT Services & Computer Repair",6,Wilmington,,
LcAozWCMLGjwRbokaJAKMg,Edwardsville Children's Museum,"Museums, Kids Activities, Arts & Entertainment, Education, Active Life, Playgrounds, Children's Museums",12,Edwardsville,,
fSCNwMtNNQY9QT69Cj9fiA,Sierra Pro Events,"Musicians, DJs, Karaoke, Event Planning & Services, Nightlife",7,Sparks,,
x1mhq4IpWctQOBM06dU8vg,Diamond Hair Company,"Hair Salons, Hair Extensions, Beauty & Spas, Wigs, Shopping",25,Indianapolis,,
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,"Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops",94,Alton,,
lwItZ1Ck3KtpCgG4CPFmpQ,Stomel Elliot Attorney-At-Law,"DUI Law, Professional Services, Lawyers, Criminal Defense Law",5,Cherry Hill,,
Kq51_lGAgAigqmENITTr-A,Bala Better Health,"Health & Medical, Beauty & Spas, Laser Hair Removal, Doctors, Hair Removal, Chiropractors, Weight Loss Centers, Sports Medicine, Medical Spas, Skin Care",13,Bala Cynwyd,,
mglME3E7esPSpIF5bias8w,Pier 1,"Fashion, Shopping, Department Stores, Furniture Stores, Candle Stores, Home & Garden, Home Decor",8,Springfield,,
wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,"Restaurants, Chinese",23,Tucson,,
JX4tUpd09YFchLBuI43lGw,Naked Cyber Cafe & Espresso Bar,"Arts & Entertainment, Music Venues, Internet Service Providers, Nightlife, Food, Coffee & Tea, Jazz & Blues, Professional Services, Internet Cafes",12,Edmonton,,
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,"Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners",159,Nashville,,
bCBPXIVfVzBZBEpFu29dcg,All In Shipping,"Shipping Centers, Local Services",5,Belleville,,
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,"Restaurants, Italian",12,Bala Cynwyd,,
